TransactionID,Date,Product,Quantity,Region,Channel,CustomerID,Price,Revenue,Discount_Percent,Discount_Amount,Final_Revenue,Month,Month_Name,Quarter,Year,DayOfWeek
TXN00096,2024-12-10,Webcam,2,North,Retail Store,CUST0037,89,178,5,8.9,169.1,12,December,4,2024,Tuesday
TXN00097,2024-11-22,Monitor,1,East,Retail Store,CUST0119,299,299,5,14.950000000000001,284.05,11,November,4,2024,Friday
TXN00098,2024-01-09,SSD Drive,2,West,Online,CUST0057,129,258,10,25.8,232.2,1,January,1,2024,Tuesday
TXN00099,2024-12-09,Monitor,3,South,Phone,CUST0008,299,897,10,89.7,807.3,12,December,4,2024,Monday
TXN00100,2024-05-08,SSD Drive,4,North,Retail Store,CUST0095,129,516,15,77.39999999999999,438.6,5,May,2,2024,Wednesday
TXN00101,2024-05-15,SSD Drive,2,East,Phone,CUST0117,129,258,0,0.0,258.0,5,May,2,2024,Wednesday
TXN00102,2024-03-03,Headphones,1,East,Phone,CUST0110,149,149,10,14.9,134.1,3,March,1,2024,Sunday
TXN00103,2024-05-18,Monitor,2,West,Online,CUST0020,299,598,5,29.900000000000002,568.1,5,May,2,2024,Saturday
TXN00104,2024-03-21,Mouse,5,West,Online,CUST0124,25,125,0,0.0,125.0,3,March,1,2024,Thursday
TXN00105,2024-06-11,Keyboard,1,West,Online,CUST0053,75,75,0,0.0,75.0,6,June,2,2024,Tuesday
TXN00106,2024-10-15,Keyboard,3,North,Retail Store,CUST0119,75,225,0,0.0,225.0,10,October,4,2024,Tuesday
TXN00107,2024-09-17,Monitor,4,North,Online,CUST0012,299,1196,0,0.0,1196.0,9,September,3,2024,Tuesday
TXN00108,2024-08-18,Monitor,2,West,Online,CUST0177,299,598,5,29.900000000000002,568.1,8,August,3,2024,Sunday
TXN00109,2024-02-10,Graphics Card,1,South,Retail Store,CUST0017,449,449,10,44.900000000000006,404.1,2,February,1,2024,Saturday
TXN00110,2024-01-28,Headphones,5,East,Retail Store,CUST0064,149,745,0,0.0,745.0,1,January,1,2024,Sunday
TXN00111,2024-05-14,Monitor,1,East,Online,CUST0042,299,299,0,0.0,299.0,5,May,2,2024,Tuesday
TXN00112,2024-07-19,Graphics Card,5,North,Online,CUST0094,449,2245,20,449.0,1796.0,7,July,3,2024,Friday
TXN00113,2024-11-23,SSD Drive,3,East,Online,CUST0157,129,387,0,0.0,387.0,11,November,4,2024,Saturday
TXN00114,2024-09-24,Webcam,4,South,Online,CUST0147,89,356,0,0.0,356.0,9,September,3,2024,Tuesday
TXN00115,2024-02-02,Webcam,3,East,Phone,CUST0011,89,267,5,13.350000000000001,253.65,2,February,1,2024,Friday
TXN00116,2024-02-17,SSD Drive,2,North,Phone,CUST0098,129,258,5,12.9,245.1,2,February,1,2024,Saturday
TXN00117,2024-03-02,USB Cable,1,North,Online,CUST0178,12,12,0,0.0,12.0,3,March,1,2024,Saturday
TXN00118,2024-08-03,Graphics Card,5,South,Phone,CUST0071,449,2245,0,0.0,2245.0,8,August,3,2024,Saturday
TXN00119,2024-10-19,Graphics Card,5,South,Retail Store,CUST0108,449,2245,0,0.0,2245.0,10,October,4,2024,Saturday
TXN00120,2024-04-08,SSD Drive,1,East,Phone,CUST0058,129,129,5,6.45,122.55,4,April,2,2024,Monday
TXN00121,2024-06-20,Mouse,1,East,Phone,CUST0034,25,25,5,1.25,23.75,6,June,2,2024,Thursday
TXN00122,2024-12-25,RAM,2,North,Online,CUST0020,85,170,0,0.0,170.0,12,December,4,2024,Wednesday
TXN00123,2024-08-01,Laptop,3,South,Phone,CUST0050,899,2697,5,134.85,2562.15,8,August,3,2024,Thursday
TXN00124,2024-02-04,SSD Drive,5,South,Phone,CUST0102,129,645,10,64.5,580.5,2,February,1,2024,Sunday
TXN00125,2024-08-14,Monitor,2,South,Phone,CUST0138,299,598,0,0.0,598.0,8,August,3,2024,Wednesday
TXN00126,2024-04-10,Monitor,3,East,Phone,CUST0160,299,897,0,0.0,897.0,4,April,2,2024,Wednesday
TXN00127,2024-05-10,Headphones,2,South,Retail Store,CUST0052,149,298,5,14.9,283.1,5,May,2,2024,Friday
TXN00128,2024-09-13,SSD Drive,5,North,Online,CUST0015,129,645,0,0.0,645.0,9,September,3,2024,Friday
TXN00129,2024-01-05,Headphones,1,North,Online,CUST0084,149,149,0,0.0,149.0,1,January,1,2024,Friday
TXN00130,2024-08-05,SSD Drive,1,East,Retail Store,CUST0131,129,129,5,6.45,122.55,8,August,3,2024,Monday
TXN00131,2024-09-11,Graphics Card,3,West,Phone,CUST0037,449,1347,15,202.04999999999998,1144.95,9,September,3,2024,Wednesday
TXN00132,2024-12-24,Laptop,4,East,Retail Store,CUST0126,899,3596,10,359.6,3236.4,12,December,4,2024,Tuesday
TXN00133,2024-10-09,Graphics Card,3,West,Phone,CUST0040,449,1347,5,67.35000000000001,1279.65,10,October,4,2024,Wednesday
TXN00134,2024-07-25,RAM,4,South,Retail Store,CUST0072,85,340,10,34.0,306.0,7,July,3,2024,Thursday
TXN00135,2024-01-15,Webcam,2,East,Online,CUST0040,89,178,0,0.0,178.0,1,January,1,2024,Monday
TXN00136,2024-12-11,Keyboard,2,North,Online,CUST0056,75,150,5,7.5,142.5,12,December,4,2024,Wednesday
TXN00137,2024-02-11,SSD Drive,5,South,Online,CUST0151,129,645,0,0.0,645.0,2,February,1,2024,Sunday
TXN00138,2024-06-27,RAM,4,North,Phone,CUST0104,85,340,0,0.0,340.0,6,June,2,2024,Thursday
TXN00139,2024-03-03,Webcam,5,South,Phone,CUST0139,89,445,10,44.5,400.5,3,March,1,2024,Sunday
TXN00140,2024-12-17,USB Cable,1,East,Retail Store,CUST0110,12,12,5,0.6000000000000001,11.4,12,December,4,2024,Tuesday
TXN00141,2024-08-18,Laptop,4,West,Retail Store,CUST0192,899,3596,0,0.0,3596.0,8,August,3,2024,Sunday
TXN00142,2024-08-28,Headphones,3,South,Online,CUST0136,149,447,15,67.05,379.95,8,August,3,2024,Wednesday
TXN00143,2024-02-21,Headphones,1,West,Phone,CUST0093,149,149,0,0.0,149.0,2,February,1,2024,Wednesday
TXN00144,2024-04-05,Graphics Card,1,South,Retail Store,CUST0094,449,449,0,0.0,449.0,4,April,2,2024,Friday
TXN00145,2024-08-09,Monitor,3,North,Phone,CUST0056,299,897,0,0.0,897.0,8,August,3,2024,Friday
TXN00146,2024-08-18,Webcam,1,North,Phone,CUST0060,89,89,10,8.9,80.1,8,August,3,2024,Sunday
TXN00147,2024-08-24,USB Cable,4,South,Online,CUST0138,12,48,10,4.800000000000001,43.2,8,August,3,2024,Saturday
TXN00148,2024-05-22,RAM,5,West,Online,CUST0039,85,425,0,0.0,425.0,5,May,2,2024,Wednesday
TXN00149,2024-06-19,Laptop,1,East,Phone,CUST0028,899,899,5,44.95,854.05,6,June,2,2024,Wednesday
TXN00150,2024-01-29,Webcam,4,East,Phone,CUST0049,89,356,0,0.0,356.0,1,January,1,2024,Monday
TXN00151,2024-02-05,USB Cable,2,North,Phone,CUST0164,12,24,10,2.4000000000000004,21.6,2,February,1,2024,Monday
TXN00152,2024-01-13,Keyboard,4,East,Phone,CUST0125,75,300,0,0.0,300.0,1,January,1,2024,Saturday
TXN00153,2024-06-08,SSD Drive,5,North,Online,CUST0013,129,645,0,0.0,645.0,6,June,2,2024,Saturday
TXN00154,2024-11-22,Headphones,4,East,Retail Store,CUST0036,149,596,15,89.39999999999999,506.6,11,November,4,2024,Friday
TXN00155,2024-07-05,RAM,3,South,Online,CUST0101,85,255,0,0.0,255.0,7,July,3,2024,Friday
TXN00156,2024-08-30,Headphones,5,North,Retail Store,CUST0026,149,745,0,0.0,745.0,8,August,3,2024,Friday
TXN00157,2024-03-26,RAM,2,North,Phone,CUST0086,85,170,5,8.5,161.5,3,March,1,2024,Tuesday
TXN00158,2024-10-10,Graphics Card,3,South,Retail Store,CUST0004,449,1347,20,269.40000000000003,1077.6,10,October,4,2024,Thursday
TXN00159,2024-03-06,Monitor,4,North,Online,CUST0082,299,1196,0,0.0,1196.0,3,March,1,2024,Wednesday
TXN00160,2024-06-18,RAM,5,East,Online,CUST0192,85,425,0,0.0,425.0,6,June,2,2024,Tuesday
TXN00161,2024-02-14,Headphones,2,East,Phone,CUST0166,149,298,0,0.0,298.0,2,February,1,2024,Wednesday
TXN00162,2024-03-02,Graphics Card,3,North,Online,CUST0127,449,1347,5,67.35000000000001,1279.65,3,March,1,2024,Saturday
TXN00163,2024-05-13,RAM,2,East,Phone,CUST0088,85,170,0,0.0,170.0,5,May,2,2024,Monday
TXN00164,2024-10-10,Keyboard,4,West,Online,CUST0127,75,300,5,15.0,285.0,10,October,4,2024,Thursday
TXN00165,2024-01-28,Monitor,2,North,Online,CUST0120,299,598,20,119.60000000000001,478.4,1,January,1,2024,Sunday
TXN00166,2024-04-17,RAM,1,South,Phone,CUST0022,85,85,0,0.0,85.0,4,April,2,2024,Wednesday
TXN00167,2024-02-13,Graphics Card,3,West,Retail Store,CUST0130,449,1347,0,0.0,1347.0,2,February,1,2024,Tuesday
TXN00168,2024-12-05,Webcam,2,North,Online,CUST0031,89,178,0,0.0,178.0,12,December,4,2024,Thursday
TXN00169,2024-10-12,Mouse,4,South,Retail Store,CUST0119,25,100,0,0.0,100.0,10,October,4,2024,Saturday
TXN00170,2024-11-26,USB Cable,4,East,Online,CUST0011,12,48,15,7.199999999999999,40.8,11,November,4,2024,Tuesday
TXN00171,2024-05-07,Mouse,2,South,Online,CUST0046,25,50,0,0.0,50.0,5,May,2,2024,Tuesday
TXN00172,2024-12-13,Mouse,4,West,Online,CUST0096,25,100,0,0.0,100.0,12,December,4,2024,Friday
TXN00173,2024-08-18,Laptop,5,East,Online,CUST0190,899,4495,5,224.75,4270.25,8,August,3,2024,Sunday
TXN00174,2024-07-08,Keyboard,5,North,Retail Store,CUST0197,75,375,0,0.0,375.0,7,July,3,2024,Monday
TXN00175,2024-08-12,Webcam,5,East,Retail Store,CUST0192,89,445,5,22.25,422.75,8,August,3,2024,Monday
TXN00176,2024-10-09,SSD Drive,1,North,Online,CUST0010,129,129,0,0.0,129.0,10,October,4,2024,Wednesday
TXN00177,2024-04-30,RAM,2,North,Online,CUST0168,85,170,10,17.0,153.0,4,April,2,2024,Tuesday
TXN00178,2024-04-25,USB Cable,1,South,Retail Store,CUST0128,12,12,15,1.7999999999999998,10.2,4,April,2,2024,Thursday
TXN00179,2024-08-20,Monitor,4,South,Phone,CUST0152,299,1196,5,59.800000000000004,1136.2,8,August,3,2024,Tuesday
TXN00180,2024-09-15,Webcam,1,South,Phone,CUST0099,89,89,20,17.8,71.2,9,September,3,2024,Sunday
TXN00181,2024-12-24,Headphones,4,West,Retail Store,CUST0172,149,596,0,0.0,596.0,12,December,4,2024,Tuesday
TXN00182,2024-07-16,SSD Drive,4,West,Online,CUST0112,129,516,0,0.0,516.0,7,July,3,2024,Tuesday
TXN00183,2024-05-16,Laptop,3,South,Online,CUST0060,899,2697,5,134.85,2562.15,5,May,2,2024,Thursday
TXN00184,2024-11-13,Laptop,5,West,Phone,CUST0190,899,4495,5,224.75,4270.25,11,November,4,2024,Wednesday
TXN00185,2024-06-13,Webcam,4,East,Phone,CUST0087,89,356,0,0.0,356.0,6,June,2,2024,Thursday
TXN00186,2024-08-12,Graphics Card,3,East,Retail Store,CUST0145,449,1347,0,0.0,1347.0,8,August,3,2024,Monday
TXN00187,2024-11-02,Mouse,5,West,Phone,CUST0065,25,125,0,0.0,125.0,11,November,4,2024,Saturday
TXN00188,2024-08-21,Headphones,4,West,Retail Store,CUST0057,149,596,0,0.0,596.0,8,August,3,2024,Wednesday
TXN00189,2024-06-20,Laptop,4,East,Phone,CUST0183,899,3596,0,0.0,3596.0,6,June,2,2024,Thursday
TXN00190,2024-05-31,USB Cable,1,North,Phone,CUST0106,12,12,10,1.2000000000000002,10.8,5,May,2,2024,Friday
TXN00191,2024-11-10,Laptop,1,East,Phone,CUST0181,899,899,0,0.0,899.0,11,November,4,2024,Sunday
TXN00192,2024-06-08,Monitor,5,East,Online,CUST0184,299,1495,0,0.0,1495.0,6,June,2,2024,Saturday
TXN00193,2024-04-05,RAM,4,West,Online,CUST0009,85,340,5,17.0,323.0,4,April,2,2024,Friday
TXN00194,2024-08-20,Laptop,2,East,Online,CUST0022,899,1798,5,89.9,1708.1,8,August,3,2024,Tuesday
TXN00195,2024-06-28,Monitor,1,West,Phone,CUST0141,299,299,15,44.85,254.15,6,June,2,2024,Friday
TXN00196,2024-04-22,Webcam,5,West,Retail Store,CUST0089,89,445,5,22.25,422.75,4,April,2,2024,Monday
TXN00197,2024-11-13,Webcam,4,South,Retail Store,CUST0176,89,356,0,0.0,356.0,11,November,4,2024,Wednesday
TXN00198,2024-02-21,SSD Drive,4,East,Retail Store,CUST0018,129,516,10,51.6,464.4,2,February,1,2024,Wednesday
TXN00199,2024-09-24,Laptop,2,North,Retail Store,CUST0115,899,1798,5,89.9,1708.1,9,September,3,2024,Tuesday
TXN00200,2024-10-21,USB Cable,5,South,Online,CUST0168,12,60,0,0.0,60.0,10,October,4,2024,Monday
TXN00201,2024-04-22,Laptop,4,West,Online,CUST0145,899,3596,5,179.8,3416.2,4,April,2,2024,Monday
TXN00202,2024-04-10,USB Cable,1,West,Phone,CUST0143,12,12,15,1.7999999999999998,10.2,4,April,2,2024,Wednesday
TXN00203,2024-04-22,Keyboard,2,North,Phone,CUST0106,75,150,0,0.0,150.0,4,April,2,2024,Monday
TXN00204,2024-03-21,SSD Drive,5,West,Retail Store,CUST0015,129,645,0,0.0,645.0,3,March,1,2024,Thursday
TXN00205,2024-07-05,Keyboard,2,East,Online,CUST0063,75,150,0,0.0,150.0,7,July,3,2024,Friday
TXN00206,2024-04-22,Laptop,1,South,Retail Store,CUST0167,899,899,0,0.0,899.0,4,April,2,2024,Monday
TXN00207,2024-01-02,SSD Drive,5,West,Phone,CUST0013,129,645,0,0.0,645.0,1,January,1,2024,Tuesday
TXN00208,2024-05-09,Keyboard,2,West,Phone,CUST0081,75,150,5,7.5,142.5,5,May,2,2024,Thursday
TXN00209,2024-08-07,Mouse,3,North,Retail Store,CUST0032,25,75,0,0.0,75.0,8,August,3,2024,Wednesday
TXN00210,2024-02-23,Laptop,1,East,Phone,CUST0137,899,899,15,134.85,764.15,2,February,1,2024,Friday
TXN00211,2024-12-08,Keyboard,1,West,Retail Store,CUST0040,75,75,10,7.5,67.5,12,December,4,2024,Sunday
TXN00212,2024-08-11,Mouse,1,North,Online,CUST0148,25,25,5,1.25,23.75,8,August,3,2024,Sunday
TXN00213,2024-08-12,Mouse,3,West,Retail Store,CUST0082,25,75,10,7.5,67.5,8,August,3,2024,Monday
TXN00214,2024-05-05,Webcam,3,North,Online,CUST0077,89,267,0,0.0,267.0,5,May,2,2024,Sunday
TXN00215,2024-05-09,Laptop,4,North,Online,CUST0191,899,3596,0,0.0,3596.0,5,May,2,2024,Thursday
TXN00216,2024-02-22,Mouse,2,East,Phone,CUST0076,25,50,5,2.5,47.5,2,February,1,2024,Thursday
TXN00217,2024-06-20,Webcam,4,West,Phone,CUST0172,89,356,10,35.6,320.4,6,June,2,2024,Thursday
TXN00218,2024-08-05,Keyboard,2,East,Phone,CUST0038,75,150,10,15.0,135.0,8,August,3,2024,Monday
TXN00219,2024-06-08,Monitor,3,North,Retail Store,CUST0188,299,897,0,0.0,897.0,6,June,2,2024,Saturday
TXN00220,2024-07-16,Laptop,3,South,Retail Store,CUST0071,899,2697,15,404.55,2292.45,7,July,3,2024,Tuesday
TXN00221,2024-09-03,SSD Drive,4,West,Phone,CUST0048,129,516,0,0.0,516.0,9,September,3,2024,Tuesday
TXN00222,2024-11-19,USB Cable,5,South,Retail Store,CUST0018,12,60,15,9.0,51.0,11,November,4,2024,Tuesday
TXN00223,2024-07-21,USB Cable,4,West,Phone,CUST0144,12,48,20,9.600000000000001,38.4,7,July,3,2024,Sunday
