DaysSinceLastInspection,PreviousViolationCount,ComplaintsLast6Months,CriticalViolationsBefore,PermitAge,SeatingCapacity,EmployeeCount,FoodHandlerCertified,KitchenInspectionScore,DaysSinceRenovation,RoachCockroachComplaints,TemperatureViolations,HighRiskFoodServed,InspectorChangedRecently,OwnershipChangedRecently,InspectionResult
369.9830902626096,9,7,2,6.790050179532199,129.4291946684302,36.68536762419505,30.739298389882403,50.86151590325668,1080.3291128707301,4,3,No,No,No,FAIL
163.83558993332653,1,2,0,2.565174980081606,48.84615618132374,11.74768476298581,93.2976266715695,80.38935382236136,727.8607766738193,0,0,Yes,No,No,PASS
372.75878558916577,9,5,2,15.843672189260015,118.06166865518321,19.88402214193582,43.155173136933726,51.12484210297815,1388.905844453403,5,1,Yes,No,No,FAIL
368.7181190543657,5,5,3,12.153705740789261,98.46129764320618,21.005129889180157,44.821234722935735,57.89343740927958,1474.0369259158742,1,5,Yes,No,Yes,FAIL
457.6367037199109,4,8,4,12.710810941034305,77.95164398963716,27.93971356062408,44.727844044691345,65.0,1924.2412010310277,5,1,Yes,Yes,Yes,FAIL
357.27425371384305,5,6,6,6.733713776801956,94.72478399591887,18.845290187841506,32.05491228584225,54.42105470369061,1898.4665417594576,1,4,Yes,No,Yes,FAIL
187.61814273762042,4,6,1,6.983132246721218,53.20685261047466,8.257520829268021,56.70448236636102,67.51931546096176,551.274310821284,1,1,Yes,No,No,CONDITIONAL PASS
219.26193938124345,0,0,0,5.881705788215143,85.15094551463778,11.099095843135654,87.3966945527504,82.01692621033476,563.2443745114384,0,0,No,No,No,PASS
142.48115388918978,4,3,4,6.666895409643315,77.4018403111595,27.951872724358395,28.686715943837434,35.80465815512204,1197.7436387692624,2,4,Yes,No,No,FAIL
264.04888097031056,4,3,1,3.2826159282931955,123.39066577925178,29.656399198916787,79.51120950407223,67.56829871948213,904.7722859471673,0,0,Yes,No,No,CONDITIONAL PASS
318.8795140004105,0,0,0,0.5,62.455409760207715,15.264119377598927,92.89792011925532,79.30422340843836,249.74888126106526,0,2,No,No,No,PASS
146.17652683176152,0,0,1,2.4620308107109823,94.46536960300064,12.149334616289128,85.3284352295571,79.92275364851564,69.51752194063914,0,0,Yes,No,No,PASS
238.29425705726132,1,2,0,5.851017805943092,55.42490256192217,2.507384849677143,80.42979494615976,76.2095164718531,182.60494926987883,0,0,No,No,No,PASS
243.50546921097526,1,1,0,7.638952046223384,68.7213535528016,10.374186337891876,93.38100608697562,91.43645693169877,175.83056928688606,0,0,No,No,No,PASS
303.468199646456,6,0,1,9.011216467178354,86.2044553377956,7.904918084580089,90.59438899568443,56.82616442589444,762.050531380611,0,2,Yes,Yes,No,CONDITIONAL PASS
185.22282409429027,3,0,0,3.445778550002332,67.39269580697648,7.577484634699901,88.32877105546565,80.76222552948649,243.0649224858999,0,3,No,No,No,PASS
401.85761388819003,4,5,3,9.98716060717376,111.79426232635129,30.730446998738287,37.52003274956553,49.19003773866448,1898.7617325587437,3,2,Yes,Yes,No,FAIL
176.66713806620288,2,1,0,7.760535707074808,80.61139177655356,14.130515654916985,98.47309313570622,87.72947400323629,376.91813236004293,0,0,No,No,Yes,PASS
541.5470542079787,4,11,2,7.8503408684045795,137.8931160297646,28.990454086440785,53.99166787240343,30.815956779223903,1305.53072517444,2,1,Yes,No,No,FAIL
403.14516224937,4,5,0,6.976996593855795,136.58244126461133,21.76273251198763,67.80686675412726,82.64174727952432,1357.6773458367052,1,0,Yes,No,No,CONDITIONAL PASS
219.01279317298426,5,6,2,6.172987748524857,97.90260496963026,19.423941409521756,83.72067458447808,59.01191723693242,160.83399159470673,0,1,Yes,No,No,CONDITIONAL PASS
178.85902752583868,1,0,0,3.1232238884412595,35.91489482462032,14.145890599374994,80.77849124942341,100.0,420.24554556697893,0,0,Yes,Yes,No,PASS
155.92677168684983,0,0,0,4.944573053055395,76.09320311345168,9.805330138279984,100.0,81.02431205530061,540.3076916716799,0,0,No,No,No,PASS
167.86844085396635,2,0,0,5.910263240820237,97.89956806298288,18.139017167256732,85.88542809007856,81.83658126346462,203.54534930436932,0,0,Yes,No,No,PASS
287.226916108936,6,5,0,2.6215153119209598,20.68373163014993,20.313706667889804,67.32539825445834,67.87315892889933,520.1412270109001,0,3,No,No,No,CONDITIONAL PASS
274.97897127322994,5,3,2,8.002984760600572,100.36720663034092,22.726241725108224,70.59883167405063,75.03990012239942,661.2135659392629,2,3,Yes,Yes,No,CONDITIONAL PASS
208.28810142815973,0,0,0,4.491408869106161,123.4473297540433,8.513454246504864,72.75735638039252,87.38124030301402,413.853976235175,0,2,Yes,No,No,PASS
266.494117239474,1,1,0,3.886337559677489,16.763155807127923,11.016095255615085,74.26258664110173,82.88930412214361,694.0864606025076,0,1,No,No,No,PASS
261.9948774208713,1,2,1,11.181146693254378,114.111318899776,14.951496480159285,91.90728166089929,69.2785409818172,960.0435099121446,3,1,No,Yes,No,CONDITIONAL PASS
598.9374449095158,3,4,3,7.949457574493955,23.793043530638514,10.573531118278314,27.027450584793833,50.32082392665639,1364.422553176123,0,3,No,No,No,FAIL
200.25615972451214,1,0,2,3.3843946951282065,49.80191575172556,15.05996315957244,100.0,84.56345322665062,642.1402506295033,0,0,No,No,No,PASS
256.2933056996495,0,0,0,3.513308344105007,49.74313240172957,12.09540813889884,82.74230633431128,82.06073849115546,567.5740835335579,0,0,Yes,No,Yes,PASS
74.21759067823596,2,0,0,2.0517610011964202,90.20957382754546,6.8541654462703345,84.14182231838787,90.84767411646345,338.4886529637476,1,0,No,No,No,PASS
179.52164152100295,0,1,0,5.975946312607131,63.523852514798946,10.859859851075605,100.0,84.31441685690152,365.17185657395123,0,0,No,No,No,PASS
220.91717827769784,1,0,0,7.353579938434256,90.82174031720353,15.936612528232617,90.89409593683081,84.05657499068481,260.0069327918933,0,0,Yes,No,No,PASS
263.3999263394677,6,3,2,4.513220112941886,61.63008270229854,9.762646379546595,74.21930273643625,73.71400676719121,1000.4729809379821,0,1,No,No,No,CONDITIONAL PASS
229.3902350377149,1,2,0,4.786198681208512,73.45756364378937,13.682691909354899,85.16185183072989,86.76034731849681,632.4015408542421,0,1,No,No,No,PASS
197.38649141378477,0,0,0,5.545272756351471,57.376896378933374,8.17468833544537,92.82371282753009,87.63920980232268,251.2567829411004,0,0,Yes,No,No,PASS
141.20562694544842,2,0,0,2.7189869634397055,79.91464485060318,13.272132287133603,96.1795861828474,90.1301475574859,367.7529490641461,0,0,No,No,No,PASS
240.21197387352146,2,0,0,6.299258285210755,54.15102429148523,17.83392496601604,91.08378456365561,96.16457632128109,150.08881945210396,0,0,Yes,No,No,PASS
257.87486488107845,2,3,0,1.2330574375815013,39.07290876819684,12.045006837297823,70.40586806020156,65.09111891006391,680.0007919716346,1,3,Yes,Yes,No,CONDITIONAL PASS
128.3229479203042,2,1,0,1.0109405728619691,76.40920527204634,4.387926528666301,82.60097202855906,86.95211277388977,333.96606641181177,0,0,Yes,No,No,PASS
166.93912780636677,1,3,0,2.746576820830454,97.51762899606825,11.13408080301913,73.57346197049024,78.49838154914609,143.81184000013047,1,1,Yes,No,No,PASS
330.8367911289675,2,4,0,5.257538059516689,103.9727228790417,14.935048792444974,74.94950464571008,59.42625536521421,413.2978077514528,1,1,No,No,Yes,CONDITIONAL PASS
456.12522833635364,5,5,5,8.074615107166416,41.78419067648142,25.295585381304644,37.75393644783849,44.10610638060517,1692.2642013660402,4,7,Yes,No,No,FAIL
166.59223288044893,0,0,0,0.5,44.725580869000424,6.934852441885811,75.83787135284278,82.66268879354301,362.59327422505584,0,0,Yes,No,No,PASS
256.6598937473055,1,0,1,2.2819336727149753,51.029142796434904,18.721591039936037,90.99069716001335,88.36660200842923,753.8674646801248,0,1,No,No,No,PASS
308.73009210756317,2,5,2,8.436023102759568,109.0426784937422,28.52853489886164,67.21983412666333,83.48142001571046,806.0032223987606,1,0,Yes,No,Yes,CONDITIONAL PASS
195.2816746407143,3,3,2,9.262941906359673,114.53419269980752,8.118156355693422,79.16044636667937,68.7125901577125,424.6736615468677,2,0,Yes,Yes,No,CONDITIONAL PASS
142.63802881076438,0,0,0,5.964530023242022,62.9831131354704,10.323963733702907,88.24429195996281,82.7647259156387,668.4045501986495,0,3,No,Yes,No,PASS
219.81221704484733,3,2,3,8.793740522196815,101.5618982437986,8.50144399453114,75.68383946593399,58.226817117650015,803.1286662100077,0,3,No,No,No,CONDITIONAL PASS
634.1982640147936,9,3,5,16.195049929058605,102.57675462072538,14.646314239111318,59.73975370668573,44.18747697499909,1887.459602581503,5,3,Yes,No,Yes,FAIL
334.40158819499163,1,0,0,1.1245698492140308,81.75879598263542,7.854454096829774,100.0,89.47599013909092,480.1646327470571,0,0,No,No,No,PASS
140.24257446324918,0,0,0,2.046758232942354,13.329699293906422,14.218696456349027,93.9699883154552,82.76322832688336,629.943065845326,0,1,No,No,No,PASS
182.11581311830372,1,0,0,3.2200324783799896,40.46215970937179,7.812659919367336,80.83203317464171,89.77897258727293,480.2414326965991,0,0,Yes,Yes,No,PASS
274.86984846974974,7,5,1,15.395697736092714,87.10126827431439,19.678819761330594,73.96858504030425,58.242115149389214,1032.6772019083628,3,2,Yes,Yes,No,CONDITIONAL PASS
290.33466702708415,5,3,0,1.0,30.81308435132747,13.71871667479888,61.78237076893966,85.0,1238.4700278473633,0,3,Yes,Yes,No,CONDITIONAL PASS
162.4983750124034,1,0,0,2.5523866595796263,64.08791700408504,13.910652521983174,68.75009479192082,79.5564384909556,255.85320256491386,0,0,No,No,Yes,PASS
132.44875569403797,2,0,0,1.771953749733123,10.0,5.036756211083732,100.0,86.92000291778123,421.49714366628376,0,0,No,No,Yes,PASS
272.3261904658599,1,2,0,5.733229834835795,132.05478695455156,15.3036931805433,95.0,66.69098036732784,1038.0084255349766,0,0,No,No,Yes,CONDITIONAL PASS
300.0018112893614,7,1,2,8.399193247742836,86.35339238613267,10.31974359563632,54.797307443829695,76.824737868471,761.9490094371228,2,3,No,Yes,Yes,CONDITIONAL PASS
261.37440171424936,1,0,0,4.6374918766864965,61.85624249315817,11.83117609301173,83.30276672775037,81.3662751121868,524.2508907910385,0,0,No,Yes,No,PASS
124.67008054934247,0,0,0,8.16200457310113,77.45817737339821,11.150901572384207,86.49030720208133,84.63872208076087,641.3174839608417,0,2,No,No,No,PASS
131.81681856305562,2,3,0,11.048340047614051,39.58841114759722,20.721257971437687,74.0727696547166,65.80581487780557,1188.325790472592,1,5,Yes,No,Yes,CONDITIONAL PASS
345.6900200306129,4,3,1,13.475904747505215,101.22050641714836,9.566861462517407,67.58956890282522,71.47977178138851,660.7480258562975,2,1,Yes,No,No,CONDITIONAL PASS
177.5461479377399,6,3,0,4.968930144757821,92.55361471179002,13.690812803878718,57.36375827227114,82.31093195427255,900.1880495509256,0,2,Yes,No,No,CONDITIONAL PASS
338.25887120019456,1,1,1,3.5080964158264214,65.37667724455093,13.827122732180165,77.48469932223205,61.92434144013069,583.7739360512395,0,1,Yes,No,Yes,CONDITIONAL PASS
140.8002460455773,0,0,0,4.124506977257081,47.107474442200456,9.98281150689321,85.63598168373532,83.54533347045576,450.60169733555836,1,1,No,Yes,No,PASS
143.98698737047232,0,4,1,4.497374241208274,31.394496839383848,2.0,92.06926243423872,97.36531225572409,348.43412467279353,1,0,No,No,No,PASS
470.96631077101233,8,7,6,11.527304701924457,86.00056045888137,37.44727055494779,67.04017107720796,44.05079760569144,2198.191097487855,3,6,Yes,Yes,No,FAIL
361.3533736856808,8,3,2,6.356779945753725,112.44860380410609,18.144013554524776,54.97031103792159,78.95949375894614,1169.500273983198,0,0,Yes,No,No,CONDITIONAL PASS
247.1744946860746,0,0,0,1.7727759701448536,63.6576324573205,2.0245976679263347,86.17011978992998,79.54650461118527,386.68769029110865,0,0,No,No,No,PASS
122.10459236519372,1,0,1,0.9162560401377418,50.247864536278186,8.325981463948207,90.50912293926257,77.67664197331474,805.3604737873811,0,0,No,No,No,PASS
95.88893623246315,2,1,0,5.263316250195163,67.95495044074043,20.00649165888794,92.33390118092952,80.28740302311692,255.2183621691453,0,0,Yes,No,No,PASS
227.2221080296714,4,4,1,9.667006346869268,104.3146739663466,15.513458350146848,74.34254112546756,70.8799411153654,1060.7893227727498,0,0,Yes,No,No,CONDITIONAL PASS
250.76640724327723,1,1,0,1.1556550104715195,62.95582658637931,15.134773741280663,77.94682199496762,80.7686621637847,440.31602283991856,0,0,Yes,No,No,PASS
417.8791875335784,4,1,1,9.828087002497822,140.34072504479266,20.168768255399545,65.8616549394716,55.46362741755195,778.1327011879531,1,1,No,No,No,CONDITIONAL PASS
431.0400013106578,4,5,2,14.068386888032206,90.99405472820871,13.33622190364264,62.94014279367735,69.96936344290057,758.4023482129996,1,4,Yes,No,No,CONDITIONAL PASS
270.26540810715545,4,4,2,7.652010543047639,70.85851384207024,24.501832094034718,80.22559976183618,71.4997973153729,1226.0589498223746,0,0,Yes,No,Yes,CONDITIONAL PASS
300.3736330718454,1,5,0,7.31702417584252,82.21331799741931,10.253929128131436,70.231163540686,55.66043933187419,907.6322046225094,1,0,Yes,No,No,CONDITIONAL PASS
168.5796793149835,0,0,0,3.7634405183767776,56.70530733239742,10.25617767650179,87.217193838279,82.2589792148491,210.51419098786474,1,0,No,No,No,PASS
91.28868057795435,0,0,0,3.4666755017268267,71.62425523664274,15.905869283053455,93.44306990738937,82.69564701804342,339.9470564162338,0,0,No,No,Yes,PASS
238.53270762734155,1,1,0,3.1032405673777026,113.59473814947945,15.17765099916449,100.0,97.2666437500623,225.64505180614736,0,0,No,No,No,PASS
181.1734245481074,4,3,0,6.499100732953859,93.66220621135831,14.763844143418385,62.83463193588284,72.93450462990876,707.1854033669208,2,3,Yes,No,No,CONDITIONAL PASS
94.51510882719259,3,0,0,3.611085763695411,129.45448547446327,8.744485514929648,87.57405943928639,85.48249936368408,382.34970745374255,0,0,Yes,No,No,PASS
286.34087464370475,4,4,1,7.876888037841998,101.14166807824945,36.55182412246677,69.05031619814024,69.02847137095509,1498.4201858124668,1,1,Yes,Yes,Yes,CONDITIONAL PASS
122.66757356397446,1,0,1,0.5,33.6915676959309,13.132526760576443,76.42261125007145,96.303783559546,30.0,0,0,No,No,No,PASS
545.7676977853205,7,11,4,6.720902412516895,87.70339050739295,12.606948304638932,37.7362466934261,35.05490384826322,1451.112388381087,1,6,Yes,Yes,No,FAIL
248.57281288418784,3,3,2,9.44167844061699,106.25216289873532,36.655353226240486,74.62363236061881,55.48084064771378,837.5075529090891,0,2,No,No,Yes,CONDITIONAL PASS
192.9875153749185,2,1,0,0.5,82.74246527859158,14.356762454138645,76.30404976138497,83.54242842583037,817.0821244184298,0,0,No,No,No,PASS
215.21142562801623,1,2,0,6.75731933185665,69.62144233105316,11.007577707424694,86.24283987572997,97.60214696637517,219.72605703155085,0,1,No,No,No,PASS
221.16308759990636,0,0,2,0.5,50.43397884081507,3.7165374022020483,93.32827658711888,96.39905476023544,811.9835816828947,0,1,Yes,No,No,PASS
315.1741826535472,2,1,1,1.9322772310518985,49.74734741509873,2.9556902886418577,68.36075555819896,64.41197972749556,924.8338609984861,2,2,Yes,No,No,CONDITIONAL PASS
165.27671303982777,0,0,0,4.275974097769243,60.202519314936794,14.225521274163533,84.1771808317186,91.86346752198003,538.1850584260017,1,1,Yes,No,No,PASS
198.09284054001674,0,1,0,4.532374934179058,45.93730679492734,12.72659027662869,69.96311297365827,81.74783783349122,204.02684086051352,0,0,No,No,No,PASS
298.7785996672541,3,1,0,4.039876942857274,53.27844069883976,23.25943602835099,62.638670844366324,51.12073730984427,708.3930478068592,0,2,Yes,No,No,CONDITIONAL PASS
432.70983566777454,2,2,1,10.147002103196202,100.33923308073034,2.207979687634852,76.46757480566156,69.30749857771313,1376.8984697530173,1,3,Yes,No,No,CONDITIONAL PASS
301.6382336803604,7,7,2,2.0,77.80271943277347,21.232704264044134,28.928746800577077,62.86790485439672,1217.9934496989292,4,5,No,Yes,No,FAIL
473.84693872544943,7,6,3,7.358409265523215,148.1595354032617,28.300072419500623,53.75123976905525,56.144396650004225,2458.8414395469467,5,3,Yes,No,Yes,FAIL
135.0908078066068,0,0,0,5.549522768825753,19.61129700199198,6.8753596670711605,74.3549123987009,87.40873710084391,528.4731184100356,0,0,No,No,No,PASS
258.4285652569457,1,0,1,3.153271650195312,74.56390073476801,12.28463210435388,93.83615480788961,93.55873785529174,403.9153524180344,0,1,No,No,No,PASS
367.7640074145885,4,4,3,15.749937249843066,87.30956751096655,26.955411025356536,45.64882860287598,35.713558445348255,1769.1430750743475,2,5,Yes,No,No,FAIL
347.0438921852409,5,8,6,8.81753963540338,39.72076405147233,25.378037192024756,34.90140152800587,43.195901448112785,1155.221525431478,2,4,Yes,No,No,FAIL
176.79948611440284,1,3,1,6.347308941232387,117.41578012189709,16.532582755704038,72.64123883636952,50.131158032035465,768.6823273839454,1,2,No,Yes,No,CONDITIONAL PASS
312.1339228969448,4,8,4,7.1484345615031675,15.0,9.300477345393587,31.89697061629746,64.78786092416382,1494.9063375611934,2,6,Yes,No,No,FAIL
138.01646952044487,0,1,1,1.3591800017356461,48.984352118238974,6.16174108941787,77.1202464790466,78.71140408481821,448.95006533695476,0,0,No,No,No,PASS
470.59343058207514,9,8,1,9.73358804671503,128.4771374085338,9.951271427800668,71.47904504092419,46.77791271771165,1419.3475839125642,2,3,Yes,Yes,No,FAIL
185.50564659213015,0,0,0,2.1091914384285637,58.81626478242077,2.540480493731881,92.23019742687109,92.8883039536502,598.1916374071322,0,0,No,No,No,PASS
259.14620704013504,5,2,1,8.286514893415843,128.1602270227349,17.879726232501035,85.31940238938341,61.10981703685682,779.9587086440994,0,0,Yes,No,No,CONDITIONAL PASS
310.50193818877176,8,3,2,12.701502325026036,116.86245941617709,29.540159840319365,65.11349402953338,38.268968381508685,1828.219453360129,6,8,No,Yes,Yes,FAIL
280.586238736517,0,0,2,0.5,64.65018932333554,3.9441526841289036,78.38729449487586,88.04725835971861,536.068515597265,0,1,No,No,No,PASS
146.26274824554164,0,1,0,7.41538657068412,40.51886313817185,7.190575688970254,85.73017996437378,79.6045436723071,637.5282278717814,0,0,No,No,No,PASS
271.38744463617945,1,1,0,3.4483931247105697,37.162361016450596,14.178322832285009,86.53013380186556,92.8142433098121,383.7952326522401,0,0,Yes,No,No,PASS
198.65445393588027,0,1,0,5.383408921931557,49.98841729638698,11.926567928040633,78.04186500664653,85.03992860454608,256.95029623648185,0,0,No,No,Yes,PASS
297.1104743585313,4,6,2,4.409421810865982,141.43133514114498,15.503213711077676,69.39768892750388,62.516515524483836,683.9693952663339,1,3,Yes,No,Yes,CONDITIONAL PASS
121.10948093712295,0,0,0,8.7582317193179,51.7273103226929,2.0,79.32604997110633,86.98672398317663,30.0,0,2,Yes,No,No,PASS
362.77618423692195,8,1,0,13.30118683286701,38.35732738944823,19.19804279457923,76.81797532238241,70.45106240593968,562.958484293875,2,1,Yes,No,No,CONDITIONAL PASS
93.84827092923364,2,0,1,6.956414317652179,85.49781168509978,2.0,60.0,89.63200777534956,611.4358259228866,0,0,No,No,No,PASS
382.2844217188727,4,8,2,12.484269326678174,103.3526942642171,15.885605537245922,45.91876120731546,54.12147027016459,2098.3354399536247,3,2,Yes,No,No,FAIL
191.18725888616567,1,0,0,1.729484544278574,83.6583743285663,12.003543138402609,98.5489434097558,77.49835239347881,650.4991458299999,0,1,No,No,No,PASS
194.89323517802018,1,1,0,5.553804621539725,55.546989919439426,18.12190835058781,78.21488948472461,88.0746840682108,155.28656290499785,0,0,Yes,No,No,PASS
572.4676742847568,8,1,1,14.083609555850177,19.24774990657977,31.046286293576138,55.03826230400288,48.56673442051928,1705.4208787451566,2,2,Yes,Yes,No,FAIL
215.58607547810303,1,0,0,3.750075550457742,81.9891961620076,22.88526323744188,92.99665847453795,77.27395029254197,404.5025948795455,0,0,Yes,No,Yes,PASS
248.3194021039767,7,2,2,3.0140692773182187,111.7350489347809,19.55163817934395,64.65155919131331,61.14864341630904,932.0742638309816,1,3,Yes,No,No,CONDITIONAL PASS
130.90675900599166,1,1,1,3.2699786362174352,10.0,9.629094714609256,82.980457316188,86.61823897531582,435.04903880651216,0,0,Yes,No,No,PASS
342.15291732536,4,3,0,9.744724610670307,41.642177711535915,15.393839363532638,67.5826391615727,69.63172480728996,1030.2801807431258,1,0,Yes,No,No,CONDITIONAL PASS
375.72090620721525,4,3,3,11.897947035761053,127.57696620970809,19.571084676101076,66.17943008924492,44.35055091622023,1227.9479940440858,2,3,Yes,Yes,Yes,FAIL
486.9252564126162,4,5,2,11.976508083544326,153.13972281702883,13.532958826145942,29.63361558705335,38.40960978723287,1675.9142052553768,2,2,Yes,No,No,FAIL
278.65876516928506,2,2,4,9.2337688093215,138.7904966730237,9.526474545761726,71.11649810719743,81.55000499371803,295.37957794134195,0,1,No,Yes,No,CONDITIONAL PASS
498.6860068735157,6,2,4,8.488897195465519,37.90566251552195,35.46525195205665,54.995742838163366,41.77771827218584,1535.9775492995368,0,3,Yes,No,No,FAIL
82.34745372701025,2,0,0,1.5370139930316307,68.96559408544658,8.32463508186321,100.0,82.97205461838911,254.95126467244296,0,2,No,No,No,PASS
276.8813234153113,4,5,2,13.356344299898392,109.56019530155416,29.43055178545647,51.86015421327688,32.73119615428286,2018.4095074865395,3,2,Yes,Yes,No,FAIL
371.68693346344867,4,3,0,1.0,120.33879536156141,15.66110718551553,49.777714457247214,73.71288550404738,580.834526496029,2,2,Yes,No,No,CONDITIONAL PASS
229.63099494216144,1,1,0,6.60047141198188,87.03794384908987,8.868542889061906,77.80491892424865,78.26332742112619,281.31587796441534,0,0,No,No,No,PASS
199.36311362028536,4,0,1,0.638377431326437,77.76782760388389,10.371347723747764,95.7323540041649,90.6790440113494,299.70611532830526,0,0,No,Yes,No,PASS
161.93377826464268,1,0,1,3.401557871227713,86.29352871751064,5.676163584072405,94.13241083470217,83.30557525074477,375.8694114520421,0,0,No,No,No,PASS
273.06911853135136,3,2,0,0.5,74.32574572384434,13.233606943493031,86.86703213591578,89.90267300401666,357.26464622602765,0,0,No,No,No,PASS
151.73770166290063,1,0,0,6.042169923830656,61.25060809057354,7.631026893794051,100.0,96.0751842138153,667.2763606906376,0,0,Yes,No,No,PASS
310.0174704208504,1,4,1,8.945437980091738,105.05550259952564,23.975059571313434,70.26917156656607,80.04551079473664,985.9495827868008,0,2,No,Yes,No,CONDITIONAL PASS
563.3750034214236,4,10,6,12.205188313226252,121.42115548438312,24.48886198987438,61.20699240106852,63.825953030555844,2107.341727018289,4,2,No,Yes,Yes,FAIL
154.76128063407845,1,0,0,1.3252616772987418,32.169056073495696,14.074122410179372,87.16609616401573,81.437699448448,232.2063120711645,0,0,No,No,No,PASS
190.47466876991035,1,1,1,6.018611795020879,87.49849911953737,5.357487354924382,93.37627956524354,69.69405379693079,271.8630013004798,0,0,Yes,No,No,PASS
318.8429724295609,4,6,6,8.776091495134438,49.3766426821772,20.39178618558418,8.522220900601226,51.58051425805278,1318.5559709875763,6,3,No,No,Yes,FAIL
236.1215975375966,3,2,1,3.3231911471326248,55.790861932115384,4.0553738365893715,68.68714537208415,66.69017637745863,1366.6014718425236,0,1,Yes,Yes,Yes,CONDITIONAL PASS
277.7177367719406,5,1,1,7.110716015659042,114.53794522629636,26.52703180275253,63.41486487398507,62.97942655661553,1108.2356561553327,0,5,Yes,No,No,CONDITIONAL PASS
129.61668946915344,0,0,0,6.491311584741451,48.754729986612766,19.71848880496207,93.42994081374995,80.37164216941395,424.8083615544043,0,0,No,No,No,PASS
