course_name,lecture_name,review_rating,review_comment,review_comment_clean,course_name_clean,lecture_name_clean,comment_length,word_count
A/B Testing in Python,How to set up the A/B test,4,you can add programming practice for learning more effective,you can add programming practice for learning more effective,A/B Testing in Python,How to set up the A/B test,60,9
A/B Testing in Python,Conclusion,3,"Ok. Not the best way to learn for me, personally. Too much theory and not enough practice.","ok. not the best way to learn for me, personally. too much theory and not enough practice.",A/B Testing in Python,Conclusion,90,17
A/B Testing in Python,How to set up the A/B test,3,no mathematical depth,no mathematical depth,A/B Testing in Python,How to set up the A/B test,21,3
A/B Testing in Python,Conclusion,3,"Some course material like a PDF should have been provided instead of just providing Python notebooks and related datasets. Otherwise, the course is good","some course material like a pdf should have been provided instead of just providing python notebooks and related datasets. otherwise, the course is good",A/B Testing in Python,Conclusion,152,24
A/B Testing in Python,Conclusion,2,I wanted to complete at least a practical project,i wanted to complete at least a practical project,A/B Testing in Python,Conclusion,49,9
A/B Testing in Python,Conclusion,2,"It is mostly a theoretical course rather than practicing, need more use cases","it is mostly a theoretical course rather than practicing, need more use cases",A/B Testing in Python,Conclusion,77,13
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Learning a lot in well demonstrated videos,learning a lot in well demonstrated videos,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,42,7
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellent,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"Excellent, exceeded my expectations!

","excellent, exceeded my expectations!",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,36,4
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellent ,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,The content is explained very well and can be easily understood by individuals who do not work in financial accounting and do not speak English on a daily basis.,the content is explained very well and can be easily understood by individuals who do not work in financial accounting and do not speak english on a daily basis.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,161,29
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,This course is awesome ,this course is awesome,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,22,4
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,very good course,very good course,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,16,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"great
",great,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Good,good,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,4,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"Great, ","great,",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,6,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Amazing,amazing,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,7,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Very good constant ,very good constant,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,18,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,excellent,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellent ,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Easy to learn and love the bite sized format,easy to learn and love the bite sized format,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,44,9
Accounting and Financial Statement Analysis,Congratulations!,5,excelent,excelent,Accounting and Financial Statement Analysis,Congratulations!,8,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,It is very useful and add huge knowledge through discussing main aspects in accounting and finance to help the business information stakeholdrs understand how they efficiently work andwhat are the right decisions we have to take and protect us from the companies fraud.,it is very useful and add huge knowledge through discussing main aspects in accounting and finance to help the business information stakeholdrs understand how they efficiently work andwhat are the right decisions we have to take and protect us from the companies fraud.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,269,43
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Amazing course with easy to understand lectures.,amazing course with easy to understand lectures.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,48,7
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"Follow maintenance, fuel consumption, and annual inspection and insurance policy renewal of each vehicles","follow maintenance, fuel consumption, and annual inspection and insurance policy renewal of each vehicles",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,105,14
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,excellent,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Congratulations!,5,excellent,excellent,Accounting and Financial Statement Analysis,Congratulations!,9,1
Accounting and Financial Statement Analysis,Congratulations!,5,Excellent ,excellent,Accounting and Financial Statement Analysis,Congratulations!,9,1
Accounting and Financial Statement Analysis,Congratulations!,5,It's so nice and very useful to me. Totally superbb...,it's so nice and very useful to me. totally superbb...,Accounting and Financial Statement Analysis,Congratulations!,54,10
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,good,good,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,4,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Great Course learning a lot,great course learning a lot,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,27,5
Accounting and Financial Statement Analysis,Congratulations!,5,"good
",good,Accounting and Financial Statement Analysis,Congratulations!,4,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Exceeded my expectations,exceeded my expectations,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,24,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,It is informative ,it is informative,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,17,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,it is valuable and Excellent,it is valuable and excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,28,5
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Remarkable,remarkable,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,10,1
Accounting and Financial Statement Analysis,Congratulations!,5,Great introduction course to Accounting and Finance.,great introduction course to accounting and finance.,Accounting and Financial Statement Analysis,Congratulations!,52,7
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellent,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Thanks for sharing this course. I learned a lot.,thanks for sharing this course. i learned a lot.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,48,9
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"useful & excellent
",useful & excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,18,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,The course materials should be labelled properly. The presentation is good ,the course materials should be labelled properly. the presentation is good,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,74,11
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Yes excellent and interesting ,yes excellent and interesting,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,29,4
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Nice,nice,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,4,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,I have been looking for a teaching so practical as this.,i have been looking for a teaching so practical as this.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,56,11
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Very good materials,very good materials,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,19,3
Accounting and Financial Statement Analysis,Congratulations!,5,Great and explanatory,great and explanatory,Accounting and Financial Statement Analysis,Congratulations!,21,3
Accounting and Financial Statement Analysis,Congratulations!,5,"that was really nice cource....
",that was really nice cource....,Accounting and Financial Statement Analysis,Congratulations!,31,5
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Course is amazing and high quality. This is a value added course.,course is amazing and high quality. this is a value added course.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,65,12
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"This is very detailed, I am enjoying it. Please keep it up!","this is very detailed, i am enjoying it. please keep it up!",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,59,12
Accounting and Financial Statement Analysis,Congratulations!,5,Good but I need a certificate,good but i need a certificate,Accounting and Financial Statement Analysis,Congratulations!,29,6
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Very use full and very easy to understand ,very use full and very easy to understand,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,41,8
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,This Course is really helpful for having a basic idea about Accounting system and Accounting procedure ,this course is really helpful for having a basic idea about accounting system and accounting procedure,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,102,16
Accounting and Financial Statement Analysis,Congratulations!,5,It was an excellent course with lot of Financial Knowledge which had enhanced my Financial knowledge ,it was an excellent course with lot of financial knowledge which had enhanced my financial knowledge,Accounting and Financial Statement Analysis,Congratulations!,100,16
Accounting and Financial Statement Analysis,Congratulations!,5,"VERY HELPFUL BUT I WISH THERE IS UNLIMITED TIME FOR FREE LESSON FOR ME, AS I AM BUSY WITH WORK SO I DO NOT HAVE ENOUGH TIME TO STUDY IN SUCH SHORT TIME, THANK YOU","very helpful but i wish there is unlimited time for free lesson for me, as i am busy with work so i do not have enough time to study in such short time, thank you",Accounting and Financial Statement Analysis,Congratulations!,162,35
Accounting and Financial Statement Analysis,Congratulations!,5,excellent,excellent,Accounting and Financial Statement Analysis,Congratulations!,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Great ,great,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,1
Accounting and Financial Statement Analysis,Building a Cash Flow Statement in Practice,5,yes,yes,Accounting and Financial Statement Analysis,Building a Cash Flow Statement in Practice,3,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"Explicit so far
Refreshed memory and good delivery ","explicit so far
refreshed memory and good delivery",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,50,8
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Really Insightful. ,really insightful.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,18,2
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,excellent,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,It's a great course with a vast knowledge of Finance area. Helps even for non professional Finance people to get in depth knowledge. Thanks for providing such a free course. ,it's a great course with a vast knowledge of finance area. helps even for non professional finance people to get in depth knowledge. thanks for providing such a free course.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,173,30
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"Excellent 

",excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellent,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Just beautiful! so ell explained even for a beginner!!!,just beautiful! so ell explained even for a beginner!!!,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,55,9
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"This course is really amazing, highly recommed.","this course is really amazing, highly recommed.",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,47,7
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,It was a great. I am really enjoying it ,it was a great. i am really enjoying it,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,39,9
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Great Learning Experience.,great learning experience.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,26,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Quite informative ,quite informative,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,17,2
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Insightful ,insightful,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,10,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"Deep explanations, thanks for detailed teaching","deep explanations, thanks for detailed teaching",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,47,6
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,excellent ,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,It is very straight to the point and easy to understand/follow.,it is very straight to the point and easy to understand/follow.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,63,11
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,good,good,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,4,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,learning so much and I am here for just pure knowledge.,learning so much and i am here for just pure knowledge.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,55,11
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Exceeded my expectations ,exceeded my expectations,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,24,3
Accounting and Financial Statement Analysis,Congratulations!,5,"Very very good course structure & amazing teaching style, also contains knowledgeable practical resources. Better than expectations. Thank u 365 Financial Analyst","very very good course structure & amazing teaching style, also contains knowledgeable practical resources. better than expectations. thank u 365 financial analyst",Accounting and Financial Statement Analysis,Congratulations!,162,22
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Wonderful course very helpful for finance basics,wonderful course very helpful for finance basics,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,48,7
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellently organized,excellently organized,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,21,2
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"The course is simple and easily to learn. Most importantly, it gives extremely easy to absorb explanation of Finance and accounting concepts....","the course is simple and easily to learn. most importantly, it gives extremely easy to absorb explanation of finance and accounting concepts....",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,144,22
Accounting and Financial Statement Analysis,Building a Cash Flow Statement in Practice,5,Great course,great course,Accounting and Financial Statement Analysis,Building a Cash Flow Statement in Practice,12,2
Accounting and Financial Statement Analysis,Congratulations!,5,Very interesting I love it,very interesting i love it,Accounting and Financial Statement Analysis,Congratulations!,26,5
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,thanks for all,thanks for all,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,14,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,It exceeded my expectations,it exceeded my expectations,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,27,4
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,good,good,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,4,1
Accounting and Financial Statement Analysis,Congratulations!,5,great,great,Accounting and Financial Statement Analysis,Congratulations!,5,1
Accounting and Financial Statement Analysis,Congratulations!,5,Excellent,excellent,Accounting and Financial Statement Analysis,Congratulations!,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,excellent,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"Great,I enjoy it","great,i enjoy it",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,16,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Perfect detailing and presentation,perfect detailing and presentation,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,34,4
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellent classes are held.,excellent classes are held.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,27,4
Accounting and Financial Statement Analysis,Congratulations!,5,Good,good,Accounting and Financial Statement Analysis,Congratulations!,4,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,very good experience with the course easy to learn  ,very good experience with the course easy to learn,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,50,9
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"That helps me a lot, appreciate it!","that helps me a lot, appreciate it!",Accounting and Financial Statement Analysis,Types of Equity - Practical Example,35,7
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellent ,excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,I enjoyed the graphic used in the presentation of the course,i enjoyed the graphic used in the presentation of the course,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,60,11
Accounting and Financial Statement Analysis,Congratulations!,5,"awesome course
",awesome course,Accounting and Financial Statement Analysis,Congratulations!,14,2
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,excellent very educative,excellent very educative,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,24,3
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Highly Recommended. Amazing experience,highly recommended. amazing experience,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,38,4
Accounting and Financial Statement Analysis,Building a Cash Flow Statement in Practice,5,Es excelente ,es excelente,Accounting and Financial Statement Analysis,Building a Cash Flow Statement in Practice,12,2
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,The course materials are excellent as are easy to understand very nicely explained easily understandable very much appreciated thanks for your great work keep up the great work ,the course materials are excellent as are easy to understand very nicely explained easily understandable very much appreciated thanks for your great work keep up the great work,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,176,28
Accounting and Financial Statement Analysis,Congratulations!,5,"The course was great, I have learnt a lot.","the course was great, i have learnt a lot.",Accounting and Financial Statement Analysis,Congratulations!,42,9
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,"excellent
",excellent,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,1
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Excellently covered all scenarios with great examples,excellently covered all scenarios with great examples,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,53,7
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,It's good ,it's good,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,9,2
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,very detailed and comprehensive structure,very detailed and comprehensive structure,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,41,5
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,this course is very commendable. It discusses lessons in simplest way. Hope the 21 days will be extended and more can learn from this platform.,this course is very commendable. it discusses lessons in simplest way. hope the 21 days will be extended and more can learn from this platform.,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,143,25
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,it was so interesting,it was so interesting,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,21,4
Accounting and Financial Statement Analysis,Types of Equity - Practical Example,5,Very informative and simple to comprehend ,very informative and simple to comprehend,Accounting and Financial Statement Analysis,Types of Equity - Practical Example,41,6
